# mysquishi_probe v1
# sample_hz=500
# baud=230400
# adc_bits=10
# set the MyoWare 2.0 output selector to RAW, not ENV
# columns: millis,adc_counts
# recorded=20260905_212517
# tier=A
millis,adc_counts
507,511
509,511
512,511
514,511
516,511
518,510
519,510
521,511
523,511
525,511
527,511
529,511
531,511
533,511
535,510
537,511
539,511
541,511
543,511
545,511
547,511
549,511
551,511
553,510
556,510
558,511
560,511
561,511
563,511
565,511
567,510
569,510
571,510
573,510
575,511
577,511
579,511
581,511
583,511
585,510
587,510
589,511
591,511
593,511
595,511
598,511
600,511
602,510
603,510
605,511
607,511
609,511
611,511
613,511
615,511
617,510
619,510
621,510
623,511
625,511
627,511
629,511
631,511
633,510
635,510
637,511
640,511
642,511
644,511
646,511
647,511
649,510
651,510
653,510
655,511
657,511
659,511
661,511
663,511
665,511
667,511
669,510
671,511
673,510
675,511
677,511
679,511
681,511
684,511
686,511
688,510
689,511
691,511
693,511
695,511
697,511
699,511
701,511
703,510
705,511
707,511
709,511
711,511
713,511
715,511
717,510
719,510
721,511
723,511
726,511
728,511
730,511
731,511
733,510
735,510
737,511
739,511
741,511
743,511
745,511
747,511
749,510
751,511
753,510
755,511
757,511
759,511
761,511
763,511
765,511
768,511
770,511
772,511
774,511
775,511
777,511
779,511
781,511
783,511
785,511
787,510
789,511
791,511
793,511
795,511
797,511
799,511
801,510
803,511
805,511
807,511
809,511
812,511
814,511
816,511
817,511
819,510
821,511
823,511
825,511
827,511
829,511
831,511
833,510
835,510
837,511
839,510
841,511
843,511
845,511
847,511
849,511
851,510
854,511
856,511
858,511
859,511
861,511
863,511
865,511
867,510
869,510
871,510
873,511
875,511
877,511
879,511
881,511
883,511
885,510
887,510
889,511
891,511
893,511
896,511
898,511
900,511
902,510
903,511
905,511
907,511
909,511
911,511
913,511
915,511
917,510
919,511
921,510
923,511
925,511
927,511
929,511
931,511
933,510
935,510
937,511
940,511
942,511
944,511
945,511
947,510
949,510
951,510
953,511
955,511
957,511
959,511
961,511
963,510
965,511
967,511
969,510
971,511
973,510
975,511
977,511
979,511
982,511
984,511
986,510
987,511
989,511
991,511
993,511
995,511
997,511
999,511
1001,511
1003,511
1005,511
1007,511
1009,511
1011,511
1013,511
1015,510
1017,511
1019,511
1021,511
1024,511
1026,511
1028,511
1030,511
1031,511
1033,511
1035,510
1037,511
1039,511
1041,511
1043,511
1045,511
1047,511
1049,511
1051,510
1053,510
1055,510
1057,511
1059,511
1061,511
1063,511
1065,511
1068,510
1070,510
1072,511
1073,511
1075,511
1077,511
1079,511
1081,511
1083,510
1085,510
1087,511
1089,511
1091,511
1093,511
1095,511
1097,511
1099,511
1101,511
1103,511
1105,511
1107,511
1110,511
1112,511
1114,511
1115,511
1117,510
1119,511
1121,511
1123,511
1125,511
1127,511
1129,511
1131,511
1133,511
1135,510
1137,510
1139,510
1141,511
1143,511
1145,511
1147,511
1149,511
1152,510
