# mysquishi_probe v1
# sample_hz=500
# baud=230400
# adc_bits=10
# set the MyoWare 2.0 output selector to RAW, not ENV
# columns: millis,adc_counts
# recorded=20260905_212947
# tier=C
# phase_hard=27.50,32.51
# phase_light=12.50,17.50
# phase_rest=2.50,12.50
millis,adc_counts
507,510
509,511
512,511
514,510
516,510
518,510
519,512
521,511
523,510
525,511
527,511
529,511
531,511
533,511
535,511
537,511
539,511
541,510
543,509
545,509
547,510
549,514
551,512
553,511
556,511
558,510
560,511
561,511
563,511
565,511
567,511
569,511
571,510
573,510
575,511
577,511
579,511
581,511
583,511
585,510
587,511
589,511
591,510
593,511
595,510
598,512
600,511
602,511
603,511
605,510
607,511
609,510
611,510
613,509
615,512
617,511
619,510
621,511
623,510
625,511
627,511
629,511
631,511
633,511
635,511
637,510
640,511
642,511
644,509
646,511
647,512
649,511
651,511
653,511
655,511
657,510
659,511
661,510
663,511
665,510
667,511
669,511
671,511
673,510
675,510
677,511
679,510
681,511
684,511
686,512
688,510
689,510
691,510
693,510
695,511
697,511
699,511
701,510
703,510
705,511
707,511
709,511
711,511
713,511
715,511
717,511
719,510
721,511
723,510
726,510
728,510
730,511
731,511
733,511
735,511
737,511
739,510
741,510
743,511
745,511
747,511
749,510
751,511
753,511
755,510
757,510
759,510
761,510
763,511
765,511
768,511
770,510
772,511
774,510
775,510
777,511
779,511
781,510
783,510
785,511
787,511
789,510
791,511
793,511
795,510
797,510
799,510
801,510
803,510
805,510
807,510
809,512
812,511
814,511
816,511
817,510
819,511
821,509
823,510
825,511
827,511
829,511
831,511
833,511
835,510
837,510
839,511
841,511
843,510
845,511
847,511
849,510
851,511
854,511
856,510
858,510
859,510
861,511
863,511
865,511
867,511
869,510
871,510
873,511
875,511
877,511
879,510
881,510
883,511
885,510
887,510
889,510
891,512
893,511
896,511
898,511
900,511
902,510
903,510
905,511
907,511
909,510
911,511
913,510
915,510
917,511
919,512
921,511
923,511
925,511
927,511
929,511
931,510
933,511
935,510
937,511
940,510
942,511
944,510
945,513
947,511
949,510
951,511
953,511
955,510
957,511
959,510
961,510
963,511
965,511
967,511
969,511
971,510
973,511
975,510
977,511
979,511
982,511
984,511
986,511
987,510
989,511
991,510
993,510
995,510
997,512
999,511
1001,510
1003,510
1005,511
1007,511
1009,511
1011,511
1013,511
1015,511
1017,511
1019,511
1021,510
1024,511
1026,510
1028,510
1030,509
1031,511
1033,512
1035,511
1037,511
1039,511
1041,511
1043,511
1045,511
1047,511
1049,511
1051,511
1053,510
1055,511
1057,510
1059,511
1061,511
1063,511
1065,511
1068,511
1070,510
1072,510
1073,510
1075,510
1077,512
1079,511
1081,510
1083,510
1085,511
1087,509
1089,511
1091,511
1093,511
1095,511
1097,511
1099,510
1101,512
1103,511
1105,510
1107,511
1110,511
1112,511
1114,511
1115,511
1117,511
1119,511
1121,510
1123,511
1125,510
1127,511
1129,510
1131,511
1133,511
1135,511
1137,511
1139,510
1141,511
1143,510
1145,510
1147,511
1149,511
1152,511
1154,510
1156,511
1158,511
1159,511
1161,511
1163,511
1165,510
1167,511
1169,511
1171,511
1173,511
1175,510
1177,511
1179,511
1181,510
1183,511
1185,511
1187,511
1189,511
1191,511
