# mysquishi_probe v1
# sample_hz=500
# baud=230400
# adc_bits=10
# set the MyoWare 2.0 output selector to RAW, not ENV
# columns: millis,adc_counts
# recorded=20260905_214205
# tier=survey
# phase_extend=199.67,207.67
# phase_grip_hard=56.55,64.55
# phase_grip_light=14.52,22.52
# phase_grip_medium=35.54,43.54
# phase_index=121.60,129.60
# phase_little=178.65,186.65
# phase_middle=140.62,148.62
# phase_pinch=79.56,87.57
# phase_rest_1=0.00,11.50
# phase_rest_10=186.65,196.65
# phase_rest_11=207.67,213.67
# phase_rest_2=22.52,32.52
# phase_rest_3=43.54,53.54
# phase_rest_4=64.55,76.55
# phase_rest_5=87.57,97.57
# phase_rest_6=108.58,118.59
# phase_rest_7=129.60,137.60
# phase_rest_8=148.62,156.62
# phase_rest_9=167.63,175.64
# phase_ring=159.63,167.63
# phase_wrist_flex=100.58,108.58
millis,adc_counts
507,511
509,511
512,511
514,511
516,510
518,511
519,511
521,510
523,511
525,511
527,511
529,511
531,511
533,510
535,511
537,510
539,511
541,511
543,511
545,511
547,510
549,511
551,510
553,511
556,510
558,511
560,511
561,511
563,511
565,510
567,510
569,511
571,511
573,511
575,511
577,511
579,511
581,510
583,510
585,510
587,511
589,511
591,511
593,511
595,510
598,511
600,510
602,511
603,510
605,511
607,511
609,511
611,511
613,511
615,511
617,510
619,511
621,511
623,511
625,511
627,511
629,511
631,511
633,510
635,511
637,511
640,511
642,511
644,511
646,511
647,510
649,510
651,510
653,511
655,511
657,511
659,511
661,511
663,511
665,510
667,511
669,510
671,511
673,511
675,511
677,511
679,511
681,510
684,510
686,510
688,511
689,511
691,511
693,511
695,511
697,510
699,511
701,511
703,511
705,511
707,511
709,511
711,510
713,511
715,511
717,510
719,510
721,510
723,511
726,511
728,511
730,511
731,511
733,510
735,511
737,510
739,511
741,511
743,511
745,511
747,511
749,510
751,511
753,511
755,511
757,511
759,511
761,511
763,511
765,511
768,510
770,511
772,511
774,511
775,511
777,511
779,511
781,511
783,510
785,510
787,511
789,511
791,511
793,511
795,511
797,510
799,510
801,511
803,510
805,511
807,511
809,511
812,511
814,511
816,511
817,510
819,511
821,511
823,511
825,511
827,511
829,511
831,510
833,510
835,511
837,510
839,511
841,511
843,511
845,511
847,511
849,510
851,510
854,510
856,511
858,511
859,511
861,511
863,510
865,511
867,511
869,511
871,511
873,511
875,511
877,511
879,511
881,511
883,511
885,511
887,510
889,511
891,511
893,511
896,511
898,511
900,511
902,510
903,510
905,511
907,511
909,511
911,511
913,511
915,510
917,510
919,510
921,511
923,511
925,511
927,511
929,511
931,511
933,510
935,511
937,510
940,511
942,511
944,511
945,511
947,511
949,510
951,511
953,511
955,511
957,511
959,511
961,511
963,511
965,510
967,510
969,510
971,510
973,511
975,511
977,511
979,511
982,510
984,510
986,510
987,511
989,511
991,511
993,510
995,510
997,510
999,510
1001,511
1003,510
1005,511
1007,511
1009,511
1011,511
